1064	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
1065	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira
1066	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
1067	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Eubacterium
1068	Bacteria	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	Mogibacterium
1069	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1070	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
1071	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1072	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
1073	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
1074	Bacteria	Firmicutes	Clostridia	Clostridiales		
1075	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	
1076	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
1077	Bacteria	Cyanobacteria	4C0d-2	YS2		
1078	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1079	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	
1080	Bacteria	Firmicutes	Clostridia	Clostridiales		
1081	Bacteria	Firmicutes	Clostridia	Clostridiales		
1082	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1083	Bacteria	Firmicutes	Clostridia	Clostridiales		
1084	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
1085	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1086	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1087	Bacteria	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	
1088	Bacteria	Firmicutes	Clostridia	Clostridiales		
1089	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister
1090	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
1091	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
1092	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
1093	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrioles	Desulfovibrioceae	
1094	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1095	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
1096	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
1097	Bacteria	Firmicutes	Clostridia	Clostridiales		
1098	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1099	Bacteria	Firmicutes	Clostridia	Clostridiales		
1100	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Adlercreutzia
1101	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	
1102	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
1103	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
1104	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
1105	Bacteria	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	
1106	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
