#OTU ID	10A	10B	10C	11A	11B	11C	12A	12B	12C	13A	13B	13C	17A	17B	17C	19A	19B	19C	1A	1B	1C	21A	21B	21C	25A	25B	25C	26A	26B	26C	27A	27B	27C	29A	29B	29C	2A	2B	2C	30A	30A-28	30B	30B-28	30C-28	31A	31B	31C	34A	34B	34C	35A	35B	35C	36A	36B	36C	37A	37B	37C	38A	38B	38C	39A	39B	39C	3A	3B	3C	40A	40B	40C	42A	42B	42b-2	42b-3	42C	43A	43B	43C	44A	44B	44C	45A	45B	45C	46A	46B	46C	47A	47B	47C	48A	48B	48C	49A	49B	49C	4A	4B	4C	51A	51B	51C	52A	52B	52C	55A	55B	55C	56A	56B	56C	57A	57B	57C	5A	5B	5C	60A	60B	60C	61A	61B	61C	65A	65B	65C	66A	66B	66C	68A	68B	68C	69A	69B	69C	6A	6B	6C	70A	70B	70C	71A	71B	71C	72A	72B	72C	7A	7B	7C	MOCK	mock
27714baa389f1cdffad4b4bfc2e4d911	12538.0	5705.0	4564.0	431.0	260.0	284.0	4379.0	3966.0	3412.0	311.0	1147.0	369.0	0.0	0.0	0.0	7629.0	6797.0	7903.0	2621.0	1902.0	1154.0	1873.0	1868.0	2125.0	2149.0	4526.0	2753.0	916.0	659.0	360.0	4110.0	2892.0	2999.0	1612.0	2409.0	1746.0	4030.0	2946.0	4685.0	374.0	64.0	2381.0	86.0	253.0	29.0	90.0	144.0	3009.0	3300.0	2780.0	4230.0	5443.0	3090.0	3238.0	2012.0	4837.0	5133.0	5166.0	5920.0	2474.0	2703.0	2402.0	830.0	696.0	733.0	2705.0	1905.0	2243.0	498.0	1813.0	1004.0	0.0	0.0	1260.0	1480.0	0.0	746.0	446.0	778.0	2411.0	3758.0	3041.0	6365.0	5757.0	5879.0	965.0	611.0	603.0	1085.0	47.0	2205.0	2848.0	608.0	3525.0	1840.0	2708.0	3533.0	4158.0	3665.0	3787.0	612.0	152.0	246.0	583.0	842.0	1239.0	2857.0	3879.0	4579.0	3912.0	3430.0	1332.0	0.0	0.0	0.0	1377.0	1692.0	1752.0	1509.0	1519.0	828.0	904.0	943.0	1221.0	3921.0	9978.0	11112.0	830.0	2031.0	2630.0	1613.0	3614.0	3197.0	1998.0	4430.0	1007.0	1501.0	1388.0	1452.0	2318.0	1634.0	1277.0	6593.0	1235.0	3893.0	1758.0	1185.0	1322.0	10950.0	12435.0	11259.0	10.0	15.0
227a951ca93c62c13a7870185fd2f116	1701.0	1770.0	1319.0	413.0	532.0	676.0	787.0	591.0	616.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	2483.0	2058.0	149.0	652.0	709.0	700.0	421.0	161.0	282.0	4600.0	6065.0	4476.0	2707.0	1399.0	1554.0	635.0	886.0	505.0	6763.0	3411.0	5989.0	0.0	474.0	0.0	536.0	391.0	321.0	806.0	849.0	797.0	1130.0	959.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	62.0	97.0	1640.0	1341.0	2541.0	9004.0	6113.0	6094.0	1912.0	8264.0	3306.0	2014.0	1923.0	497.0	1365.0	2548.0	5782.0	7965.0	8187.0	4373.0	2760.0	2698.0	1654.0	1759.0	1635.0	841.0	542.0	523.0	0.0	0.0	0.0	0.0	0.0	0.0	649.0	575.0	464.0	657.0	1446.0	1444.0	1869.0	2972.0	1055.0	967.0	1013.0	1827.0	0.0	0.0	0.0	732.0	698.0	834.0	0.0	0.0	0.0	2852.0	707.0	756.0	328.0	113.0	95.0	813.0	1151.0	1087.0	2823.0	5885.0	4999.0	0.0	0.0	0.0	0.0	0.0	0.0	810.0	697.0	2454.0	970.0	3856.0	3073.0	4022.0	2577.0	2368.0	1176.0	376.0	914.0	990.0	795.0	1495.0	5257.0	6106.0	5102.0	0.0	0.0
582025a84e9bf76806981144d55ebc1f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	5.0	0.0	0.0	62.0	141.0	24.0	0.0	0.0	0.0	20652.0	0.0	23534.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6126.0	9149.0	7400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	480.0	0.0	1740.0	11122.0	1770.0	0.0	0.0	0.0	1060.0	13.0	2466.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36165.0	41386.0	35839.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6536.0	5487.0	1175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4ebadecdb801730f67fc3f135f8d55b2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1693.0	2839.0	1330.0	0.0	0.0	0.0	4194.0	3019.0	1620.0	470.0	0.0	0.0	3152.0	4516.0	3558.0	2589.0	2753.0	1447.0	1329.0	929.0	1179.0	2115.0	2089.0	1967.0	1716.0	1277.0	1394.0	301.0	0.0	1644.0	0.0	0.0	0.0	0.0	0.0	5165.0	4311.0	3879.0	1533.0	1495.0	1035.0	0.0	0.0	0.0	351.0	794.0	590.0	2521.0	2461.0	2145.0	2742.0	2963.0	3616.0	1103.0	882.0	1253.0	638.0	6394.0	3385.0	0.0	0.0	2091.0	2511.0	0.0	517.0	475.0	1070.0	938.0	2130.0	2047.0	1011.0	762.0	1077.0	2114.0	2313.0	1540.0	2262.0	208.0	4617.0	0.0	0.0	0.0	1008.0	633.0	920.0	3084.0	5995.0	4433.0	0.0	0.0	0.0	266.0	243.0	670.0	732.0	902.0	2521.0	773.0	593.0	355.0	463.0	232.0	353.0	887.0	791.0	870.0	927.0	1403.0	770.0	1334.0	1258.0	1669.0	0.0	0.0	0.0	634.0	1540.0	2592.0	0.0	0.0	0.0	0.0	125.0	0.0	257.0	388.0	418.0	512.0	328.0	565.0	1182.0	250.0	559.0	1321.0	486.0	1148.0	0.0	0.0	0.0	0.0	0.0
c9cf320974d131ffb81acb7731f1d683	4805.0	4532.0	5435.0	9722.0	8626.0	6665.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	1301.0	3008.0	1247.0	0.0	0.0	0.0	1191.0	1691.0	658.0	0.0	11.0	0.0	0.0	0.0	0.0	793.0	837.0	1577.0	0.0	0.0	0.0	0.0	2349.0	0.0	1732.0	2453.0	1385.0	3409.0	2162.0	1070.0	2287.0	1667.0	4323.0	4029.0	2742.0	1597.0	3025.0	3166.0	0.0	0.0	0.0	1800.0	2181.0	2298.0	1715.0	1042.0	1411.0	3728.0	1706.0	1875.0	0.0	0.0	0.0	0.0	0.0	1318.0	2341.0	0.0	0.0	0.0	0.0	330.0	452.0	385.0	1057.0	611.0	1520.0	731.0	3073.0	1415.0	2521.0	219.0	2554.0	0.0	0.0	0.0	1110.0	1522.0	1189.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	438.0	721.0	620.0	3341.0	1360.0	3168.0	0.0	0.0	0.0	3755.0	2968.0	1398.0	2341.0	2371.0	3239.0	0.0	0.0	0.0	105.0	0.0	0.0	261.0	321.0	429.0	327.0	940.0	1774.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1744.0	3022.0	2779.0	6.0	0.0
024a4a4e09775389a6cd47c02a336ddb	2269.0	2278.0	1700.0	0.0	0.0	0.0	985.0	597.0	705.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.0	241.0	0.0	625.0	469.0	561.0	2002.0	790.0	1493.0	4257.0	3465.0	1926.0	2359.0	1131.0	1340.0	195.0	291.0	147.0	0.0	0.0	0.0	95.0	0.0	45.0	0.0	0.0	572.0	1669.0	1729.0	1177.0	1556.0	1290.0	196.0	218.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	571.0	462.0	545.0	0.0	0.0	0.0	1984.0	1218.0	1343.0	0.0	0.0	0.0	1784.0	1615.0	0.0	122.0	2314.0	0.0	0.0	0.0	0.0	0.0	0.0	1805.0	1755.0	1948.0	0.0	0.0	0.0	21.0	0.0	42.0	0.0	0.0	0.0	2422.0	3445.0	2704.0	0.0	0.0	0.0	90.0	0.0	0.0	1630.0	1840.0	2886.0	0.0	0.0	0.0	1064.0	772.0	1596.0	4012.0	2905.0	4781.0	493.0	243.0	420.0	586.0	270.0	208.0	894.0	656.0	665.0	2823.0	5127.0	4649.0	0.0	0.0	0.0	8646.0	9344.0	11775.0	289.0	295.0	827.0	1436.0	6795.0	5052.0	0.0	0.0	0.0	525.0	151.0	588.0	0.0	0.0	0.0	1035.0	1165.0	1010.0	0.0	0.0
4ba39ec354a473fe7428badde1a8169c	1643.0	1062.0	725.0	292.0	289.0	266.0	1300.0	985.0	1029.0	0.0	146.0	0.0	0.0	0.0	0.0	313.0	375.0	409.0	2815.0	2111.0	1162.0	576.0	520.0	565.0	446.0	789.0	452.0	214.0	1677.0	2315.0	406.0	300.0	361.0	741.0	669.0	952.0	3590.0	2590.0	2612.0	37.0	0.0	319.0	0.0	0.0	1013.0	1272.0	3927.0	559.0	625.0	495.0	123.0	110.0	79.0	1017.0	358.0	1364.0	9172.0	4537.0	5087.0	1126.0	1050.0	838.0	875.0	954.0	874.0	422.0	290.0	567.0	108.0	1050.0	566.0	6020.0	2410.0	1354.0	1656.0	6244.0	1599.0	776.0	1496.0	178.0	143.0	108.0	195.0	197.0	277.0	474.0	94.0	246.0	93.0	0.0	242.0	146.0	85.0	240.0	923.0	693.0	965.0	1264.0	812.0	916.0	1872.0	220.0	713.0	123.0	144.0	621.0	1145.0	1331.0	1441.0	1152.0	1152.0	710.0	2699.0	1946.0	726.0	897.0	630.0	642.0	708.0	782.0	512.0	603.0	613.0	704.0	328.0	1177.0	1254.0	69.0	0.0	0.0	1448.0	2136.0	1080.0	1432.0	2552.0	369.0	2981.0	2545.0	3495.0	1299.0	770.0	956.0	883.0	221.0	331.0	90.0	41.0	164.0	413.0	472.0	279.0	0.0	0.0
2f9b10ba5fabfb144cd591b837fafb10	140.0	101.0	72.0	0.0	0.0	0.0	802.0	1214.0	943.0	239.0	1857.0	279.0	0.0	0.0	0.0	1684.0	1952.0	2528.0	849.0	597.0	167.0	864.0	851.0	1572.0	335.0	494.0	324.0	0.0	0.0	0.0	2002.0	916.0	2280.0	0.0	0.0	0.0	710.0	938.0	755.0	121.0	0.0	161.0	0.0	0.0	271.0	487.0	1262.0	1591.0	1461.0	1188.0	1246.0	1053.0	84.0	664.0	437.0	615.0	601.0	1143.0	1249.0	1247.0	998.0	1825.0	1017.0	1330.0	1147.0	0.0	0.0	24.0	232.0	413.0	453.0	91.0	76.0	200.0	382.0	532.0	316.0	709.0	778.0	0.0	0.0	0.0	482.0	421.0	949.0	2730.0	3225.0	3815.0	558.0	84.0	738.0	529.0	155.0	530.0	1321.0	1757.0	2384.0	239.0	82.0	290.0	355.0	142.0	249.0	371.0	392.0	408.0	1640.0	1936.0	2718.0	2373.0	3587.0	1348.0	0.0	0.0	0.0	2643.0	1711.0	878.0	3529.0	3717.0	1662.0	1524.0	1172.0	1379.0	116.0	790.0	718.0	81.0	308.0	312.0	976.0	763.0	533.0	136.0	143.0	0.0	522.0	1496.0	1649.0	288.0	212.0	195.0	768.0	41.0	352.0	619.0	348.0	439.0	8311.0	11087.0	14313.0	0.0	0.0
9b6f19406a52237644adf982eb2ddcaf	0.0	0.0	0.0	0.0	0.0	0.0	228.0	198.0	159.0	16023.0	4932.0	15292.0	0.0	0.0	0.0	247.0	228.0	159.0	242.0	183.0	0.0	0.0	0.0	0.0	965.0	934.0	673.0	0.0	0.0	0.0	959.0	775.0	668.0	163.0	249.0	127.0	3584.0	2693.0	4211.0	0.0	0.0	0.0	0.0	0.0	762.0	2039.0	1474.0	2284.0	1895.0	1626.0	868.0	594.0	514.0	351.0	221.0	395.0	4884.0	7798.0	8140.0	0.0	0.0	0.0	874.0	551.0	926.0	3987.0	2212.0	2165.0	8898.0	7821.0	4330.0	111.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	385.0	239.0	381.0	344.0	302.0	170.0	128.0	0.0	133.0	310.0	40.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	1257.0	3000.0	867.0	0.0	0.0	0.0	621.0	384.0	339.0	0.0	0.0	0.0	0.0	0.0	0.0	1122.0	1488.0	1195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3086.0	2169.0	2329.0	417.0	498.0	658.0	112.0	839.0	719.0	1408.0	660.0	1391.0	0.0	0.0	0.0	0.0	0.0	0.0	198.0	259.0	195.0	0.0	0.0
bbe2ef9676c4aa38a953fe194ed70aa0	2493.0	1828.0	1818.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.0	329.0	236.0	1603.0	1179.0	68.0	305.0	1055.0	494.0	2789.0	1894.0	1408.0	2897.0	2597.0	4324.0	1043.0	790.0	747.0	149.0	157.0	113.0	0.0	0.0	0.0	0.0	61.0	0.0	102.0	281.0	63.0	159.0	152.0	1504.0	1259.0	1100.0	75.0	189.0	140.0	566.0	278.0	543.0	0.0	0.0	0.0	0.0	0.0	0.0	869.0	429.0	523.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	314.0	691.0	57.0	251.0	452.0	525.0	17441.0	13236.0	10898.0	131.0	90.0	92.0	242.0	197.0	125.0	78.0	23.0	61.0	0.0	0.0	0.0	493.0	580.0	529.0	1670.0	2005.0	1460.0	0.0	0.0	0.0	4300.0	5108.0	5468.0	0.0	0.0	0.0	2413.0	1108.0	1712.0	819.0	890.0	1729.0	294.0	466.0	600.0	97.0	64.0	42.0	361.0	266.0	192.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	1471.0	2075.0	2546.0	445.0	3166.0	3071.0	181.0	0.0	122.0	1054.0	72.0	1033.0	0.0	0.0	0.0	802.0	882.0	821.0	0.0	0.0
